rank,score,place_name,maps_category,rating,review_count,price_level,cluster,neighbours,full_address,postcode,website,phone,vintage_confidence,reason
1,81.4,Second Rail,Vintage clothing store,4.8,684,££,0,7,"147 Dale St, Manchester",M25 8AU,secondrail,0161 690877,0.9,"excellent 4.8★ on 684 reviews (established, high footfall) · mid-range (££) · dense cluster — 7 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
2,78.9,Second Corner,Boutique,4.7,772,£££,2,4,"95 Tib St, Manchester",M19 8DF,secondcorner.co.uk,0161 913718,0.98,"excellent 4.7★ on 772 reviews (established, high footfall) · upmarket (£££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage streetwear, streetwear, nike, adidas, ralph"
3,72.6,Foundry Corner,Thrift store,4.3,724,£££,0,4,"150 Oldham St, Manchester",M15 8FR,,0161 580464,0.98,"strong 4.3★ on 724 reviews (established, high footfall) · upmarket (£££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: band tee, band tees, levi"
4,71.5,Analog Archive,Vintage clothing store,4.4,356,£££,0,5,"82 High St, Manchester",M15 5QG,analogarchive,,0.65,"strong 4.4★ on 356 reviews (well-reviewed) · upmarket (£££) · dense cluster — 5 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: curated vintage"
5,71.3,Velvet Garments,Boutique,4.8,664,££,3,2,"166 Oldham St, Manchester",M10 4DA,velvetgarments.com,0161 579887,0.9,"excellent 4.8★ on 664 reviews (established, high footfall) · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: reworked, archive designer"
6,70.4,Attic & Sons,Vintage store,4.9,345,,0,3,"18 Newton St, Manchester",M8 1RU,atticandsons,,0.98,"excellent 4.9★ on 345 reviews (well-reviewed) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage streetwear, streetwear, nike, adidas, ralph"
7,70.2,Nomad Racks,Vintage clothing store,4.5,435,££,1,3,"88 Newton St, Manchester",M25 1UT,,,0.9,"excellent 4.5★ on 435 reviews (well-reviewed) · mid-range (££) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: reworked, archive designer"
8,65.7,Heirloom Threads,Thrift store,4.5,500,££,3,2,"29 High St, Manchester",M19 3TQ,,,0.7,"excellent 4.5★ on 500 reviews (established, high footfall) · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: curated vintage"
9,64.9,Heirloom Closet,Boutique,4.6,267,££,2,2,"170 Tib St, Manchester",M21 8LS,,0161 066504,0.7,excellent 4.6★ on 267 reviews (well-reviewed) · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: curated vintage
10,63.8,Velvet Collective,Thrift store,4.7,226,£,0,3,"73 Dale St, Manchester",M7 1AD,,0161 926921,0.98,"excellent 4.7★ on 226 reviews (well-reviewed) · budget (£) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
11,63.5,Moth Goods,Thrift store,4.8,82,££,1,2,"178 Tib St, Manchester",M7 8DD,mothgoods.co.uk,0161 723804,0.98,"excellent 4.8★ on 82 reviews · mid-range (££) · near 2 other vintage shop(s) · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
12,63.4,Golden Era Goods,Vintage clothing store,3.9,206,££,0,4,"175 Broadway, Manchester, Manchester",M13 3TQ,,,0.98,"solid 3.9★ on 206 reviews (well-reviewed) · mid-range (££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
13,63.1,Bygone Store,Clothing store,4.4,143,£££,0,3,"172 High St, Manchester",M5 1DA,bygonestore.com,,0.98,"strong 4.4★ on 143 reviews · upmarket (£££) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: vintage denim, denim, carhartt, dickies"
14,62.6,Patina Store,Retro clothing shop,4.6,549,££,3,1,"153 The Parade, Manchester, Manchester",M23 2PD,patinastore.com,0161 382761,0.85,"excellent 4.6★ on 549 reviews (established, high footfall) · mid-range (££) · near 1 other vintage shop(s) · enrichment not yet wired (stub) · genuine: y2k, grunge"
15,62.5,Time Warp Archive,Clothing store,3.6,814,£££,0,4,"37 Hilton St, Manchester",M6 6GT,,0161 710021,0.85,"modest 3.6★ on 814 reviews (established, high footfall) · upmarket (£££) · dense cluster — 4 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: sportswear, football shirt"
16,62.4,Bygone Vintage,Boutique,4.1,400,£££,0,3,"57 Tib St, Manchester",M16 8BS,bygonevintage,0161 543520,0.9,"strong 4.1★ on 400 reviews (well-reviewed) · upmarket (£££) · dense cluster — 3 vintage shops within 500m, easy to combine · enrichment not yet wired (stub) · genuine: reworked, archive designer"
