store_name,city,stage,channel,archetype,draft_source,draft_subject,draft_body
Restore Charity Shop,Manchester,never_contacted,physical,cold_intro,template,[template] Fleek x Restore Charity Shop — sourcing vintage in bulk,"Hi Ellie Dubois, I came across Restore Charity Shop and loved the charity shop — all proceeds to local causes. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Manchester?"
Salvage Depot,Glasgow,never_contacted,physical,cold_intro,template,[template] Fleek x Salvage Depot — sourcing vintage in bulk,"Hi Nadia Cole, I came across Salvage Depot and loved the records, vinyl & memorabilia. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in Glasgow?"
eragoods99,,never_contacted,online,cold_intro,template,[template] Fleek x eragoods99 — sourcing vintage in bulk,"Hi there, I came across eragoods99 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Reclaimed Interiors,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Reclaimed Interiors,"Hi there, circling back on my note about sourcing fancy dress & theatrical costume hire through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
sourcedera14,,never_contacted,online,cold_intro,template,[template] Fleek x sourcedera14 — sourcing vintage in bulk,"Hi there, I came across sourcedera14 and loved the your stock. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Curated Vault,Los Angeles,contacted,physical,follow_up,template,[template] Following up — Fleek for Curated Vault,"Hi there, circling back on my note about sourcing curated vintage womenswear, levi's & band tees through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
archivepicks77,,never_contacted,online,cold_intro,template,[template] Fleek x archivepicks77 — sourcing vintage in bulk,"Hi there, I came across archivepicks77 and loved the ig shop, dms open. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
Vinyl Revival Records,Berlin,lost,physical,lost,template,[template] Leaving the door open — Vinyl Revival Records,"Hi there, no worries that the timing wasn't right. If sourcing antique furniture & mid-century homeware in bulk becomes useful down the line, I'm one message away. Wishing Vinyl Revival Records a great season."
Golden Era Closet,Bristol,contacted,physical,follow_up,template,[template] Following up — Fleek for Golden Era Closet,"Hi there, circling back on my note about sourcing vintage workwear, military surplus, carhartt through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Dusty Depot,New York,contacted,physical,follow_up,template,[template] Following up — Fleek for Dusty Depot,"Hi there, circling back on my note about sourcing 80s/90s denim & sportswear specialist through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Curated Apparel,London,contacted,physical,follow_up,template,[template] Following up — Fleek for Curated Apparel,"Hi Sam Dubois, circling back on my note about sourcing hand-picked vintage from the 60s to the 90s through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
RECLAIMED INTERIORS,Los Angeles,skeptical,physical,skeptical,template,[template] Fair point — a quick thought for RECLAIMED INTERIORS,"Hi Ellie Meyer, totally hear you. I know it didn't land last time — a lot has changed since, and I'd rather earn it back with a small low-risk order than talk you into anything. No hard sell — happy to let the stock speak for itself whenever suits."
retrofinds66,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (184 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit retrofinds66 again. Would you be open to taking another look — no commitment?"
archivefinds16,,churned,online,win_back,template,[template] Been a minute — what's new at Fleek,"Hi there, It's been a while (280 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit archivefinds16 again. Would you be open to taking another look — no commitment?"
deadera16,,contacted,online,follow_up,template,[template] Following up — Fleek for deadera16,"Hi there, circling back on my note about sourcing your stock through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Mercer Archive,Bristol,replied,physical,follow_up,template,[template] Following up — Fleek for Mercer Archive,"Hi Ben Novak, circling back on my note about sourcing curated vintage womenswear, levi's & band tees through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Revival Threads,Paris,contacted,physical,follow_up,template,[template] Following up — Fleek for Revival Threads,"Hi there, circling back on my note about sourcing vintage workwear, military surplus, carhartt through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
sourcedco83,,replied,online,follow_up,template,[template] Following up — Fleek for sourcedco83,"Hi there, circling back on my note about sourcing your stock through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
grailsupply32,,never_contacted,online,cold_intro,template,[template] Fleek x grailsupply32 — sourcing vintage in bulk,"Hi there, I came across grailsupply32 and loved the fast seller, good margins. Fleek helps vintage shops like yours source hand-picked stock in bulk (100+ pieces at a time) without the usual minimums. Would you be open to a quick call, or a drop-by if I'm in your city?"
thriftedera99,,contacted,online,follow_up,template,[template] Following up — Fleek for thriftedera99,"Hi there, circling back on my note about sourcing sells on depop + vinted through Fleek. Happy to send a short look at what's landing this week if useful — no pressure either way."
Faded Apparel,London,won,physical,active_customer,template,"[template] How's it going, Faded Apparel?","Hi Ben Byrne, just checking in — how did the last order land in-store? Let me know what's selling and I'll line up more of the 80s/90s denim & sportswear specialist you're after."
Patina Emporium,London,churned,physical,win_back,template,[template] Been a minute — what's new at Fleek,"Hi Rosa Ferreira, It's been a while (343 days). We've made some real changes to how sourcing works since you last ordered, and I think it'd suit Patina Emporium again. Would you be open to taking another look — no commitment?"
