lead_id,store_name,city,country,channel,stage,days_since_contact,days_since_purchase,est_monthly_spend_gbp,note_bio,note_context
L1076,Restore Charity Shop,Manchester,UK,physical,never_contacted,,,1656,Charity shop — all proceeds to local causes,
L1101,Salvage Depot,Glasgow,UK,physical,never_contacted,,,928,"Records, vinyl & memorabilia",
L1172,eragoods99,,,online,never_contacted,,,2286,,
L1005,Reclaimed Interiors,London,UK,physical,contacted,68.0,,1490,Fancy dress & theatrical costume hire,
L1161,sourcedera14,,,online,never_contacted,,,1883,,
L1130,Curated Vault,Los Angeles,USA,physical,contacted,82.0,,5504,"Curated vintage womenswear, Levi's & band tees",
L1146,archivepicks77,,,online,never_contacted,,,2637,"IG shop, DMs open",
L1204,Vinyl Revival Records,Berlin,Germany,physical,lost,52.0,,1829,Antique furniture & mid-century homeware,
L1085,Golden Era Closet,Bristol,UK,physical,contacted,39.0,,1419,"Vintage workwear, military surplus, carhartt",
L1121,Dusty Depot,New York,USA,physical,contacted,55.0,,5106,80s/90s denim & sportswear specialist,
L1026,Curated Apparel,London,UK,physical,contacted,16.0,,5126,Hand-picked vintage from the 60s to the 90s,"Left a voicemail, no callback yet."
L1203,RECLAIMED INTERIORS,Los Angeles,USA,physical,skeptical,14.0,,1684,Antique furniture & mid-century homeware,"Tried us in 2023, wasn't happy with the sizing mix."
L1186,retrofinds66,,,online,churned,76.0,184.0,2352,"Fast seller, good margins",
L1190,archivefinds16,,,online,churned,65.0,280.0,2046,"Fast seller, good margins",
L1177,deadera16,,,online,contacted,36.0,,2136,,
L1087,Mercer Archive,Bristol,UK,physical,replied,68.0,,2126,"Curated vintage womenswear, Levi's & band tees",
L1107,Revival Threads,Paris,France,physical,contacted,34.0,,6348,"Vintage workwear, military surplus, carhartt",
L1149,sourcedco83,,,online,replied,53.0,,3272,,
L1188,grailsupply32,,,online,never_contacted,,,3456,"Fast seller, good margins",
L1150,thriftedera99,,,online,contacted,45.0,,307,Sells on Depop + Vinted,
L1028,Faded Apparel,London,UK,physical,won,15.0,33.0,4143,80s/90s denim & sportswear specialist,
L1036,Patina Emporium,London,UK,physical,churned,96.0,343.0,1534,Retro football shirts & vintage sportswear,Keen but wants to see the app before committing.
L1110,Revival Studio,Berlin,Germany,physical,skeptical,41.0,,1149,"Collectables, china, and bric-a-brac","Second shop opening soon, wants volume."
L1153,deadco34,,,online,contacted,86.0,,883,Sells on Depop + Vinted,
L1016,Echo Garments,London,UK,physical,in_conversation,14.0,,3427,"Vintage streetwear — Nike, Adidas, Ralph",
L1074,Retrograde Store,Brighton,UK,physical,never_contacted,,,2043,"Y2K, grunge and reworked one-off pieces",
